Week,Google Trends Attention,Weekly Stock Price
2015-03-02,48,12.925333023071287
2015-03-09,53,12.57866668701172
2015-03-16,44,13.20533275604248
2015-03-23,52,12.333333015441896
2015-03-30,55,12.733332633972168
2015-04-06,47,14.0600004196167
2015-04-13,50,13.78600025177002
2015-04-20,81,14.562000274658203
2015-04-27,76,15.0686674118042
2015-05-04,61,15.77400016784668
2015-05-11,56,16.589332580566406
2015-05-18,55,16.51533317565918
2015-05-25,54,16.719999313354492
2015-06-01,52,16.609333038330078
2015-06-08,56,16.71266746520996
2015-06-15,52,17.500667572021484
2015-06-22,49,17.805999755859375
2015-06-29,55,18.667999267578125
2015-07-06,58,17.27666664123535
2015-07-13,63,18.310667037963867
2015-07-20,57,17.694000244140625
2015-07-27,66,17.74333381652832
2015-08-03,57,16.167333602905273
2015-08-10,58,16.209999084472656
2015-08-17,62,15.38466739654541
2015-08-24,66,16.565332412719727
2015-08-31,54,16.1286678314209
2015-09-07,54,16.682666778564453
2015-09-14,60,17.374666213989258
2015-09-21,100,17.12733268737793
2015-09-28,67,16.504667282104492
2015-10-05,68,14.71266746520996
2015-10-12,66,15.133999824523926
2015-10-19,58,13.939332962036133
2015-10-26,60,13.795332908630373
2015-11-02,54,15.490667343139648
2015-11-09,52,13.812666893005373
2015-11-16,53,14.667332649230955
2015-11-23,52,15.440667152404783
2015-11-30,51,15.358667373657228
2015-12-07,54,14.468000411987305
2015-12-14,55,15.36400032043457
2015-12-21,56,15.371333122253418
2015-12-21,23,15.371333122253418
2015-12-28,22,16.000667572021484
2016-01-04,22,14.06666660308838
2016-01-11,19,13.666000366210938
2016-01-18,22,13.50333309173584
2016-01-25,25,12.74666690826416
2016-02-01,30,10.84000015258789
2016-02-08,24,10.06933307647705
2016-02-15,21,11.10533332824707
2016-02-22,22,12.689332962036133
2016-02-29,23,13.402667045593262
2016-03-07,23,13.833333015441896
2016-03-14,24,15.515999794006348
2016-03-21,100,15.18333339691162
2016-03-28,65,15.839332580566406
2016-04-04,36,16.67133331298828
2016-04-11,28,16.96733283996582
2016-04-18,28,16.916667938232422
2016-04-25,30,16.05066680908203
2016-05-02,28,14.32866668701172
2016-05-09,25,13.84066677093506
2016-05-16,25,14.685333251953123
2016-05-23,24,14.869333267211914
2016-05-30,25,14.599332809448242
2016-06-06,23,14.586000442504885
2016-06-13,26,14.364666938781738
2016-06-20,33,12.876667022705078
2016-06-27,28,14.43333339691162
2016-07-04,27,14.45199966430664
2016-07-11,26,14.69333267211914
2016-07-18,25,14.817999839782717
2016-07-25,24,15.652667045593262
2016-08-01,22,15.335332870483398
2016-08-08,21,15.040666580200195
2016-08-15,26,15.0
2016-08-22,23,14.666000366210938
2016-08-29,24,13.185333251953123
2016-09-05,23,12.964667320251465
2016-09-12,25,13.69333267211914
2016-09-19,26,13.829999923706056
2016-09-26,26,13.60200023651123
2016-10-03,25,13.107333183288574
2016-10-10,32,13.100666999816896
2016-10-17,28,13.339332580566406
2016-10-24,31,13.33133316040039
2016-10-31,26,12.70400047302246
2016-11-07,25,12.570667266845703
2016-11-14,27,12.334667205810549
2016-11-21,24,13.109999656677246
2016-11-28,23,12.097999572753906
2016-12-05,23,12.812000274658203
2016-12-12,23,13.499333381652832
2016-12-19,28,14.22266674041748
2016-12-26,27,14.246000289916992
2017-01-02,26,15.267333030700684
2017-01-09,25,15.850000381469728
2017-01-16,24,16.315332412719727
2017-01-23,24,16.863332748413086
2017-01-30,28,16.755332946777344
2017-02-06,29,17.948667526245117
2017-02-13,30,18.148666381835938
2017-02-20,27,17.133333206176758
2017-02-27,26,16.771333694458008
2017-03-06,25,16.246000289916992
2017-03-13,26,17.433332443237305
2017-03-20,28,17.54400062561035
2017-03-27,32,18.553333282470703
2017-04-03,32,20.16933250427246
2017-04-10,31,20.26666641235352
2017-04-17,29,20.37333297729492
2017-04-24,32,20.9379997253418
2017-05-01,32,20.55666732788086
2017-05-08,29,21.65399932861328
2017-05-15,29,20.722000122070312
2017-05-22,28,21.676000595092773
2017-05-29,30,22.656667709350582
2017-06-05,30,23.821332931518555
2017-06-12,30,24.76000022888184
2017-06-19,29,25.56333351135254
2017-06-26,47,24.107332229614254
2017-07-03,39,20.881332397460938
2017-07-10,35,21.851999282836918
2017-07-17,46,21.893333435058597
2017-07-24,59,22.33799934387207
2017-07-31,40,23.79400062561035
2017-08-07,32,23.857999801635746
2017-08-14,30,23.16399955749512
2017-08-21,31,23.203332901000977
2017-08-28,29,23.69333267211914
2017-09-04,33,22.893333435058597
2017-09-11,31,25.320667266845703
2017-09-18,32,23.4060001373291
2017-09-25,33,22.739999771118164
2017-10-02,34,23.79199981689453
2017-10-09,32,23.704666137695312
2017-10-16,31,23.00666618347168
2017-10-23,35,21.391332626342773
2017-10-30,33,20.4060001373291
2017-11-06,66,20.19933319091797
2017-11-13,57,21.003332138061523
2017-11-20,42,21.036666870117188
2017-11-27,36,20.435333251953125
2017-12-04,34,21.0086669921875
2017-12-11,35,22.89666748046875
2017-12-18,38,21.68000030517578
2017-12-25,35,20.75666618347168
2017-12-25,26,20.75666618347168
2018-01-01,26,21.10533332824707
